article_number,price,source
1726711,18.2,Both (Tabelle1 priority)
1726717,24.8,Both (Tabelle1 priority)
1726736,24.8,Both (Tabelle1 priority)
1726944,21.6,Both (Tabelle1 priority)
1726945,21.6,Both (Tabelle1 priority)
1726946,21.6,Both (Tabelle1 priority)
1726987,20.0,Both (Tabelle1 priority)
1727002,17.6,Both (Tabelle1 priority)
1727087,23.625,Both (Tabelle1 priority)
1727092,23.625,Both (Tabelle1 priority)
1727095,23.625,Both (Tabelle1 priority)
1727099,20.925,Both (Tabelle1 priority)
1727100,20.925,Both (Tabelle1 priority)
1727264,24.075,Both (Tabelle1 priority)
1727271,24.075,Both (Tabelle1 priority)
1727475,62.150000000000006,Both (Tabelle1 priority)
1727476,62.150000000000006,Both (Tabelle1 priority)
1727498,103.95,Both (Tabelle1 priority)
1727500,53.900000000000006,Both (Tabelle1 priority)
1727501,53.900000000000006,Both (Tabelle1 priority)
1727504,53.900000000000006,Both (Tabelle1 priority)
1727610,18.2,Both (Tabelle1 priority)
1727626,33.975,Both (Tabelle1 priority)
1727627,33.975,Both (Tabelle1 priority)
1727922,71.6,Both (Tabelle1 priority)
1727923,71.6,Both (Tabelle1 priority)
1727927,71.6,Both (Tabelle1 priority)
1727992,79.6,Both (Tabelle1 priority)
1727997,79.6,Both (Tabelle1 priority)
1727998,79.6,Both (Tabelle1 priority)
1728103,75.6,Both (Tabelle1 priority)
1728104,75.6,Both (Tabelle1 priority)
1728109,76.0,Both (Tabelle1 priority)
1728917,24.5,Both (Tabelle1 priority)
1728921,26.5,Both (Tabelle1 priority)
1729015,24.5,Both (Tabelle1 priority)
1729016,24.5,Both (Tabelle1 priority)
1729113,32.635000000000005,Both (Tabelle1 priority)
1729135,32.635000000000005,Both (Tabelle1 priority)
1729167,35.31,Both (Tabelle1 priority)
1729169,35.31,Both (Tabelle1 priority)
1729185,33.705000000000005,Both (Tabelle1 priority)
1729195,41.730000000000004,Both (Tabelle1 priority)
1729199,41.730000000000004,Both (Tabelle1 priority)
1729228,50.825,Both (Tabelle1 priority)
1729238,42.800000000000004,Both (Tabelle1 priority)
1729239,44.940000000000005,Both (Tabelle1 priority)
1729242,36.38,Both (Tabelle1 priority)
1729244,36.38,Both (Tabelle1 priority)
1729249,35.0,Both (Tabelle1 priority)
1729251,35.0,Both (Tabelle1 priority)
1729254,35.0,Both (Tabelle1 priority)
1729255,35.0,Both (Tabelle1 priority)
1729294,32.0,Both (Tabelle1 priority)
1729296,32.0,Both (Tabelle1 priority)
1729299,55.5,Both (Tabelle1 priority)
1729300,55.5,Both (Tabelle1 priority)
1729301,46.5,Both (Tabelle1 priority)
1729302,46.5,Both (Tabelle1 priority)
1729339,40.5,Both (Tabelle1 priority)
1729341,40.5,Both (Tabelle1 priority)
1729380,44.5,Both (Tabelle1 priority)
1729381,44.5,Both (Tabelle1 priority)
1729386,44.5,Both (Tabelle1 priority)
1729387,44.5,Both (Tabelle1 priority)
1729390,42.0,Both (Tabelle1 priority)
1729391,42.0,Both (Tabelle1 priority)
1729409,44.5,Both (Tabelle1 priority)
1729426,31.5,Both (Tabelle1 priority)
1729427,31.5,Both (Tabelle1 priority)
1729432,37.5,Both (Tabelle1 priority)
1729434,37.5,Both (Tabelle1 priority)
1729444,35.0,Both (Tabelle1 priority)
1729445,35.0,Both (Tabelle1 priority)
1729462,21.0,Both (Tabelle1 priority)
1729464,21.0,Both (Tabelle1 priority)
1729507,37.5,Both (Tabelle1 priority)
1729508,37.5,Both (Tabelle1 priority)
1729525,35.5,Both (Tabelle1 priority)
1729526,35.5,Both (Tabelle1 priority)
1729528,35.5,Both (Tabelle1 priority)
1729557,52.0,Both (Tabelle1 priority)
1729559,52.0,Both (Tabelle1 priority)
1729717,29.425,Both (Tabelle1 priority)
1729718,29.425,Both (Tabelle1 priority)
1729738,29.425,Both (Tabelle1 priority)
1729747,31.03,Both (Tabelle1 priority)
1729780,29.425,Both (Tabelle1 priority)
1729829,35.5,Both (Tabelle1 priority)
1729831,35.5,Both (Tabelle1 priority)
